State,Actual Counts
Alabama,6
Arizona,25
Arkansas,4
California,140
Colorado,30
Connecticut,22
Delaware,11
Florida,74
Georgia,82
Idaho,4
Illinois,53
Indiana,19
Iowa,19
Kansas,18
Kentucky,15
Louisiana,9
Maine,18
Maryland,264
Massachusetts,92
Michigan,45
Minnesota,67
Mississippi,6
Missouri,27
Montana,5
Nebraska,6
Nevada,6
New Hampshire,8
New Jersey,126
New Mexico,1
New York,333
North Carolina,49
North Dakota,11
Ohio,59
Oklahoma,8
Oregon,14
Pennsylvania,108
Rhode Island,14
South Carolina,16
South Dakota,8
Tennessee,12
Texas,161
Utah,8
Vermont,3
Virginia,94
Washington,40
West Virginia,2
Wisconsin,9
Wyoming,0